date,past_2_weeks_per_capita,lon,lat,height
2020-10-18T00:00:00,6.4480827415,-95.5431018096,41.3364629197,M 0 0 L 0 -6.770486878575
2020-10-19T00:00:00,6.3837092033,-95.5431018096,41.3364629197,M 0 0 L 0 -6.702894663465
2020-10-20T00:00:00,6.3729802802,-95.5431018096,41.3364629197,M 0 0 L 0 -6.69162929421
2020-10-21T00:00:00,6.7163058172,-95.5431018096,41.3364629197,M 0 0 L 0 -7.052121108060001
2020-10-22T00:00:00,6.4695405875,-95.5431018096,41.3364629197,M 0 0 L 0 -6.793017616875001
2020-10-23T00:00:00,6.4802695105,-95.5431018096,41.3364629197,M 0 0 L 0 -6.804282986025001
2020-10-24T00:00:00,6.1476728966,-95.5431018096,41.3364629197,M 0 0 L 0 -6.45505654143
2020-10-25T00:00:00,6.3944381263,-95.5431018096,41.3364629197,M 0 0 L 0 -6.714160032615
2020-10-26T00:00:00,6.2335042808,-95.5431018096,41.3364629197,M 0 0 L 0 -6.54517949484
2020-10-27T00:00:00,6.1905885887,-95.5431018096,41.3364629197,M 0 0 L 0 -6.500118018135
2020-10-15T00:00:00,5.8243727599,-82.1371645499,30.7829937739,M 0 0 L 0 -6.115591397895001
2020-10-16T00:00:00,5.7497013142,-82.1371645499,30.7829937739,M 0 0 L 0 -6.0371863799100005
2020-10-17T00:00:00,5.5256869773,-82.1371645499,30.7829937739,M 0 0 L 0 -5.801971326165001
2020-10-18T00:00:00,5.4510155317,-82.1371645499,30.7829937739,M 0 0 L 0 -5.723566308285001
2020-10-19T00:00:00,5.4510155317,-82.1371645499,30.7829937739,M 0 0 L 0 -5.723566308285001
2020-10-26T00:00:00,4.5773596317,-88.4281078476,41.9393893542,M 0 0 L 0 -4.806227613285
2020-10-27T00:00:00,4.8497097124,-88.4281078476,41.9393893542,M 0 0 L 0 -5.092195198020001
2020-10-22T00:00:00,4.5280487464,-84.9373069369,40.7461176137,M 0 0 L 0 -4.75445118372
2020-10-24T00:00:00,4.5000978282,-84.9373069369,40.7461176137,M 0 0 L 0 -4.725102719610001
2020-10-27T00:00:00,4.9473125192,-84.9373069369,40.7461176137,M 0 0 L 0 -5.19467814516
2020-10-15T00:00:00,9.7003197312,-98.2781995835,44.4145490226,M 0 0 L 0 -10.185335717760001
2020-10-16T00:00:00,10.5131956863,-98.2781995835,44.4145490226,M 0 0 L 0 -11.038855470615
2020-10-17T00:00:00,10.9467295291,-98.2781995835,44.4145490226,M 0 0 L 0 -11.494066005555002
2020-10-18T00:00:00,11.1634964504,-98.2781995835,44.4145490226,M 0 0 L 0 -11.72167127292
2020-10-19T00:00:00,11.6512220235,-98.2781995835,44.4145490226,M 0 0 L 0 -12.233783124675002
2020-10-20T00:00:00,12.1931393269,-98.2781995835,44.4145490226,M 0 0 L 0 -12.802796293245
2020-10-21T00:00:00,11.9221806752,-98.2781995835,44.4145490226,M 0 0 L 0 -12.518289708960001
2020-10-22T00:00:00,11.0009212594,-98.2781995835,44.4145490226,M 0 0 L 0 -11.550967322370001
2020-10-23T00:00:00,12.0305641359,-98.2781995835,44.4145490226,M 0 0 L 0 -12.632092342695001
2020-10-24T00:00:00,12.518289709,-98.2781995835,44.4145490226,M 0 0 L 0 -13.14420419445
2020-10-25T00:00:00,13.2769739338,-98.2781995835,44.4145490226,M 0 0 L 0 -13.940822630490002
2020-10-26T00:00:00,13.0602070124,-98.2781995835,44.4145490226,M 0 0 L 0 -13.71321736302
2020-10-27T00:00:00,13.5479325855,-98.2781995835,44.4145490226,M 0 0 L 0 -14.225329214775
2020-10-15T00:00:00,10.0086095566,-98.5886114617,43.2086152621,M 0 0 L 0 -10.50904003443
2020-10-16T00:00:00,10.0086095566,-98.5886114617,43.2086152621,M 0 0 L 0 -10.50904003443
2020-10-17T00:00:00,10.2238484718,-98.5886114617,43.2086152621,M 0 0 L 0 -10.73504089539
2020-10-18T00:00:00,10.8695652174,-98.5886114617,43.2086152621,M 0 0 L 0 -11.41304347827
2020-10-19T00:00:00,10.5467068446,-98.5886114617,43.2086152621,M 0 0 L 0 -11.074042186829999
2020-10-20T00:00:00,10.2238484718,-98.5886114617,43.2086152621,M 0 0 L 0 -10.73504089539
2020-10-21T00:00:00,9.7933706414,-98.5886114617,43.2086152621,M 0 0 L 0 -10.28303917347
2020-10-22T00:00:00,9.2552733534,-98.5886114617,43.2086152621,M 0 0 L 0 -9.71803702107
2020-10-23T00:00:00,10.0086095566,-98.5886114617,43.2086152621,M 0 0 L 0 -10.50904003443
