lon,lat,date,county,state,cases,height
-97.09720519566017,38.35897211522468,2021-04-06,Marion,Kansas,1048,M -1 0 L 0 -0.1048 L 1 0
-93.29472355436452,45.56238070893347,2021-04-06,Isanti,Minnesota,3482,M -1 0 L 0 -0.3482 L 1 0
-98.06671627467937,42.17656591492814,2021-04-06,Antelope,Nebraska,500,M -1 0 L 0 -0.05 L 1 0
-81.89884842161364,41.11773161555937,2021-04-06,Medina,Ohio,14525,M -1 0 L 0 -1.4525 L 1 0
-85.40823870692554,35.369199356322255,2021-04-06,Sequatchie,Tennessee,1646,M -1 0 L 0 -0.1646 L 1 0
-101.89398023425088,35.401316656096675,2021-04-06,Potter,Texas,17231,M -1 0 L 0 -1.7231 L 1 0
-96.9370408945061,31.253612558409415,2021-04-06,Falls,Texas,2020,M -1 0 L 0 -0.202 L 1 0
-98.23650782590738,47.457283959796655,2021-04-06,Griggs,North Dakota,309,M -1 0 L 0 -0.0309 L 1 0
-98.36506473457449,43.38700423201274,2021-04-06,Douglas,South Dakota,450,M -1 0 L 0 -0.045 L 1 0
-98.11059785263058,31.704957317386757,2021-04-06,Hamilton,Texas,756,M -1 0 L 0 -0.0756 L 1 0
-93.32776948697837,40.73962459319017,2021-04-06,Wayne,Iowa,517,M -1 0 L 0 -0.0517 L 1 0
-103.46051228880097,46.447213990468626,2021-04-06,Slope,North Dakota,32,M -1 0 L 0 -0.0032 L 1 0
-99.97666526653083,31.83184145629782,2021-04-06,Runnels,Texas,1271,M -1 0 L 0 -0.1271 L 1 0
-111.77035319071526,35.83869663699167,2021-04-06,Coconino,Arizona,17186,M -1 0 L 0 -1.7186 L 1 0
-116.6605387152067,47.21727994546,2021-04-06,Benewah,Idaho,650,M -1 0 L 0 -0.065 L 1 0
-98.6850594534171,37.22908673425456,2021-04-06,Barber,Kansas,369,M -1 0 L 0 -0.0369 L 1 0
-96.2526803808253,43.674724017416416,2021-04-06,Rock,Minnesota,1202,M -1 0 L 0 -0.1202 L 1 0
-67.62932048648231,45.02119368147162,2021-04-06,Washington,Maine,785,M -1 0 L 0 -0.0785 L 1 0
-111.02318231861285,48.56274877932332,2021-04-06,Liberty,Montana,117,M -1 0 L 0 -0.0117 L 1 0
-97.59908428642221,45.758863913846305,2021-04-06,Marshall,South Dakota,364,M -1 0 L 0 -0.0364 L 1 0
-77.02883463976121,43.155895095038225,2021-04-06,Wayne,New York,4957,M -1 0 L 0 -0.4957 L 1 0
-81.80987555426256,27.18676406706687,2021-04-06,DeSoto,Florida,4115,M -1 0 L 0 -0.4115 L 1 0
-84.84004684344777,34.237979628491786,2021-04-06,Bartow,Georgia,14183,M -1 0 L 0 -1.4183 L 1 0
-92.99880417608063,42.03596879502292,2021-04-06,Marshall,Iowa,4754,M -1 0 L 0 -0.4754 L 1 0
-99.31169602160676,37.88759456525196,2021-04-06,Edwards,Kansas,262,M -1 0 L 0 -0.0262 L 1 0
-84.12785130546652,44.33461589401619,2021-04-06,Ogemaw,Michigan,1233,M -1 0 L 0 -0.1233 L 1 0
-98.51663897443777,41.220169625556,2021-04-06,Howard,Nebraska,534,M -1 0 L 0 -0.0534 L 1 0
-83.6660986875375,41.001654037528375,2021-04-06,Hancock,Ohio,6483,M -1 0 L 0 -0.6483 L 1 0
-84.58261608711175,38.29086348127353,2021-04-06,Scott,Kentucky,4694,M -1 0 L 0 -0.4694 L 1 0
-85.20533178160606,35.597123592100374,2021-04-06,Bledsoe,Tennessee,2077,M -1 0 L 0 -0.2077 L 1 0
-79.77479549479203,36.395995507265035,2021-04-06,Rockingham,North Carolina,7137,M -1 0 L 0 -0.7137 L 1 0
-101.82649906627516,34.07053933011903,2021-04-06,Hale,Texas,6084,M -1 0 L 0 -0.6084 L 1 0
-78.90306876125507,38.06628445109425,2021-04-06,Waynesboro city,Virginia,2266,M -1 0 L 0 -0.2266 L 1 0
-106.79805733121145,42.961782430452786,2021-04-06,Natrona,Wyoming,7830,M -1 0 L 0 -0.783 L 1 0
-95.16716257790895,30.57958335864328,2021-04-06,San Jacinto,Texas,1171,M -1 0 L 0 -0.1171 L 1 0
-88.96548440504844,44.47081322735586,2021-04-06,Waupaca,Wisconsin,5878,M -1 0 L 0 -0.5878 L 1 0
-81.09072567123017,40.2936307946838,2021-04-06,Harrison,Ohio,1043,M -1 0 L 0 -0.1043 L 1 0
-84.57925273899659,30.878320356732928,2021-04-06,Decatur,Georgia,2868,M -1 0 L 0 -0.2868 L 1 0
-92.41240751842878,30.290989441492744,2021-04-06,Acadia,Louisiana,6304,M -1 0 L 0 -0.6304 L 1 0
-93.80322566825623,44.82110660222551,2021-04-06,Carver,Minnesota,9155,M -1 0 L 0 -0.9155 L 1 0
-88.53867116689985,38.08131742162195,2021-04-06,Hamilton,Illinois,810,M -1 0 L 0 -0.081 L 1 0
-95.00606202428438,45.15261290466737,2021-04-06,Kandiyohi,Minnesota,6123,M -1 0 L 0 -0.6123 L 1 0
-87.81007685913974,44.11971251413358,2021-04-06,Manitowoc,Wisconsin,8552,M -1 0 L 0 -0.8552 L 1 0
-86.68083630506663,31.752620854100066,2021-04-06,Butler,Alabama,2113,M -1 0 L 0 -0.2113 L 1 0
-83.56060873537858,33.02472948389944,2021-04-06,Jones,Georgia,1969,M -1 0 L 0 -0.1969 L 1 0
-93.26271333693336,42.732557877918765,2021-04-06,Franklin,Iowa,1120,M -1 0 L 0 -0.112 L 1 0
-85.41696586910595,41.398069560103366,2021-04-06,Noble,Indiana,5295,M -1 0 L 0 -0.5295 L 1 0
-101.05572693867254,39.35104683862289,2021-04-06,Thomas,Kansas,1135,M -1 0 L 0 -0.1135 L 1 0
-84.84820729405654,43.98784822294366,2021-04-06,Clare,Michigan,1819,M -1 0 L 0 -0.1819 L 1 0
-84.60989475199538,44.68325386610787,2021-04-06,Crawford,Michigan,791,M -1 0 L 0 -0.0791 L 1 0
-92.87569316074116,37.280665191549815,2021-04-06,Webster,Missouri,3526,M -1 0 L 0 -0.3526 L 1 0
-101.69575611014879,41.56896820195691,2021-04-06,Arthur,Nebraska,22,M -1 0 L 0 -0.0022 L 1 0
-97.56904020664084,41.187611502948826,2021-04-06,Polk,Nebraska,581,M -1 0 L 0 -0.0581 L 1 0
-97.18775663603695,44.977973788261494,2021-04-06,Codington,South Dakota,4241,M -1 0 L 0 -0.4241 L 1 0
-98.50868793682679,27.682294496172435,2021-04-06,Duval,Texas,1214,M -1 0 L 0 -0.1214 L 1 0
-101.89317074295742,35.837744801188,2021-04-06,Moore,Texas,2321,M -1 0 L 0 -0.2321 L 1 0
-101.95127636590101,32.30578421152927,2021-04-06,Martin,Texas,619,M -1 0 L 0 -0.0619 L 1 0
-82.42356221124741,40.39951479186,2021-04-06,Knox,Ohio,4285,M -1 0 L 0 -0.4285 L 1 0
-66.58829066079106,18.212473790595133,2021-04-06,Jayuya,Puerto Rico,458,M -1 0 L 0 -0.0458 L 1 0
-96.58144700914889,31.54554000991683,2021-04-06,Limestone,Texas,2698,M -1 0 L 0 -0.2698 L 1 0
-91.36722649127971,42.471429902309076,2021-04-06,Delaware,Iowa,1982,M -1 0 L 0 -0.1982 L 1 0
-97.13915012231729,40.87226243871547,2021-04-06,Seward,Nebraska,1927,M -1 0 L 0 -0.1927 L 1 0
-99.76044339983761,28.86590808990258,2021-04-06,Zavala,Texas,1877,M -1 0 L 0 -0.1877 L 1 0
-120.51767339303204,39.5804338018872,2021-04-06,Sierra,California,50,M -1 0 L 0 -0.005 L 1 0
-89.16154169558313,42.33646946579933,2021-04-06,Winnebago,Illinois,29737,M -1 0 L 0 -2.9737 L 1 0
-70.71458182031859,43.47929084051522,2021-04-06,York,Maine,11045,M -1 0 L 0 -1.1045 L 1 0
-75.83080880644326,38.86975728684692,2021-04-06,Caroline,Maryland,2156,M -1 0 L 0 -0.2156 L 1 0
-84.12636871169504,45.028072864105226,2021-04-06,Montmorency,Michigan,415,M -1 0 L 0 -0.0415 L 1 0
-96.94927798726896,46.26433261137504,2021-04-06,Richland,North Dakota,1922,M -1 0 L 0 -0.1922 L 1 0
-80.35009894683284,40.68253517818365,2021-04-06,Beaver,Pennsylvania,13500,M -1 0 L 0 -1.35 L 1 0
-102.82919720795313,33.603911763069846,2021-04-06,Cochran,Texas,262,M -1 0 L 0 -0.0262 L 1 0
-84.38907955158948,43.99074816904002,2021-04-06,Gladwin,Michigan,1724,M -1 0 L 0 -0.1724 L 1 0
-103.20119588221539,39.97113015796142,2021-04-06,Washington,Colorado,437,M -1 0 L 0 -0.0437 L 1 0
-91.83759554124404,42.4710945465823,2021-04-06,Buchanan,Iowa,1862,M -1 0 L 0 -0.1862 L 1 0
-94.18129090554672,42.42784968096415,2021-04-06,Webster,Iowa,5055,M -1 0 L 0 -0.5055 L 1 0
-99.88728225157958,37.69179572345537,2021-04-06,Ford,Kansas,5699,M -1 0 L 0 -0.5699 L 1 0
-84.12975477189774,44.68176431588316,2021-04-06,Oscoda,Michigan,484,M -1 0 L 0 -0.0484 L 1 0
-89.11798735183919,32.75332250608474,2021-04-06,Neshoba,Mississippi,3971,M -1 0 L 0 -0.3971 L 1 0
-99.413184789038,40.51164435666966,2021-04-06,Phelps,Nebraska,971,M -1 0 L 0 -0.0971 L 1 0
-96.78733501838732,41.91621806502167,2021-04-06,Cuming,Nebraska,1027,M -1 0 L 0 -0.1027 L 1 0
-82.3697950406582,34.89305938288051,2021-04-06,Greenville,South Carolina,70626,M -1 0 L 0 -7.0626 L 1 0
-100.40190538977092,32.74321155589203,2021-04-06,Fisher,Texas,292,M -1 0 L 0 -0.0292 L 1 0
-78.28438739635955,36.08247852478406,2021-04-06,Franklin,North Carolina,6076,M -1 0 L 0 -0.6076 L 1 0
-84.49014850245362,41.32384414556415,2021-04-06,Defiance,Ohio,3911,M -1 0 L 0 -0.3911 L 1 0
-87.03512483663626,35.20255490630105,2021-04-06,Giles,Tennessee,3887,M -1 0 L 0 -0.3887 L 1 0
-99.21379803262712,33.61674769040557,2021-04-06,Baylor,Texas,296,M -1 0 L 0 -0.0296 L 1 0
-94.30529316213205,32.16211929396373,2021-04-06,Panola,Texas,1573,M -1 0 L 0 -0.1573 L 1 0
-118.5620570454879,46.9835310879738,2021-04-06,Adams,Washington,2005,M -1 0 L 0 -0.2005 L 1 0
-93.9304185659101,42.036612257166915,2021-04-06,Boone,Iowa,2545,M -1 0 L 0 -0.2545 L 1 0
-98.17306288058418,33.233675812372475,2021-04-06,Jack,Texas,600,M -1 0 L 0 -0.06 L 1 0
-66.26370227773197,18.129522465740482,2021-04-06,Aibonito,Puerto Rico,640,M -1 0 L 0 -0.064 L 1 0
-96.59360659306562,38.30214587303759,2021-04-06,Chase,Kansas,288,M -1 0 L 0 -0.0288 L 1 0
-97.79966454435291,31.391038675842797,2021-04-06,Coryell,Texas,7047,M -1 0 L 0 -0.7047 L 1 0
-84.60262776324305,42.94398424945025,2021-04-06,Clinton,Michigan,6259,M -1 0 L 0 -0.6259 L 1 0
-95.74112083905838,37.88617263341633,2021-04-06,Woodson,Kansas,214,M -1 0 L 0 -0.0214 L 1 0
-88.76912396562366,41.89311551264761,2021-04-06,DeKalb,Illinois,8987,M -1 0 L 0 -0.8987 L 1 0
-94.24507878104038,40.73521969315367,2021-04-06,Ringgold,Iowa,531,M -1 0 L 0 -0.0531 L 1 0
-95.31033679846182,41.68489966930295,2021-04-06,Shelby,Iowa,1250,M -1 0 L 0 -0.125 L 1 0
-119.65033093995444,36.7580517742337,2021-04-06,Fresno,California,99755,M -1 0 L 0 -9.9755 L 1 0
-94.24323083985085,41.0280290925441,2021-04-06,Union,Iowa,1231,M -1 0 L 0 -0.1231 L 1 0
-89.34519874010945,41.03296302000048,2021-04-06,Marshall,Illinois,942,M -1 0 L 0 -0.0942 L 1 0
-88.59146058652725,40.009969919623124,2021-04-06,Piatt,Illinois,1398,M -1 0 L 0 -0.1398 L 1 0
-94.70022607528497,41.02914907866287,2021-04-06,Adams,Iowa,321,M -1 0 L 0 -0.0321 L 1 0
-88.08519378704686,38.71256742932413,2021-04-06,Richland,Illinois,1696,M -1 0 L 0 -0.1696 L 1 0
-88.61359512426286,35.422013862023185,2021-04-06,Chester,Tennessee,2081,M -1 0 L 0 -0.2081 L 1 0
-85.05927495236621,41.915807526227034,2021-04-06,Branch,Michigan,4937,M -1 0 L 0 -0.4937 L 1 0
-79.80556445460869,35.71024440509262,2021-04-06,Randolph,North Carolina,14348,M -1 0 L 0 -1.4348 L 1 0
-101.76410519099177,38.91695740884012,2021-04-06,Wallace,Kansas,177,M -1 0 L 0 -0.0177 L 1 0
-85.01006755488108,39.864407466079136,2021-04-06,Wayne,Indiana,7203,M -1 0 L 0 -0.7203 L 1 0
-77.53595469214943,36.695052575348654,2021-04-06,Emporia city,Virginia,663,M -1 0 L 0 -0.0663 L 1 0
-100.2725159091059,36.277799470418735,2021-04-06,Lipscomb,Texas,308,M -1 0 L 0 -0.0308 L 1 0
-86.15576344521273,36.39275619410235,2021-04-06,Trousdale,Tennessee,2467,M -1 0 L 0 -0.2467 L 1 0
-109.80363441919911,37.626047281009065,2021-04-06,San Juan,Utah,1856,M -1 0 L 0 -0.1856 L 1 0
-92.64085402433747,41.33491129543545,2021-04-06,Mahaska,Iowa,2213,M -1 0 L 0 -0.2213 L 1 0
-116.46172207340359,48.76673181822581,2021-04-06,Boundary,Idaho,847,M -1 0 L 0 -0.0847 L 1 0
-89.36706218082541,40.12433373063017,2021-04-06,Logan,Illinois,3515,M -1 0 L 0 -0.3515 L 1 0
-95.28662415237186,38.564406316549146,2021-04-06,Franklin,Kansas,2500,M -1 0 L 0 -0.25 L 1 0
